amfi_code,cagr_percent,sharpe_ratio,sortino_ratio,alpha,max_drawdown_percent,cagr_rank,sharpe_rank,alpha_rank,drawdown_rank,final_score,expense_ratio_pct,expense_rank
102886,1.17,-0.21,-0.35,0.0289,-28.0,40.0,36.0,40.0,35.0,36.175,1.51,24.5
100016,2.64,-0.2,-0.35,0.0362,-24.73,37.0,35.0,39.0,34.0,35.85,1.55,32.0
119095,1.52,-0.08,-0.13,0.0457,-51.68,39.0,33.0,37.0,39.0,33.800000000000004,1.38,17.0
119599,2.05,-0.06,-0.09,0.0506,-52.57,38.0,32.0,36.0,40.0,31.424999999999997,0.72,5.5
119092,6.37,0.03,0.05,0.0697,-14.4,33.0,31.0,30.0,15.0,31.075,1.64,39.5
120842,6.7,0.08,0.12,0.0786,-24.0,31.0,30.0,29.0,33.0,30.849999999999998,1.56,33.0
100025,4.46,-0.57,-0.94,0.0432,-4.31,36.0,39.0,38.0,4.0,28.849999999999998,0.56,2.0
101207,7.94,0.16,0.28,0.1082,-35.45,27.0,28.0,27.0,38.0,28.575,1.53,28.5
101208,6.51,-0.82,-1.68,0.0608,-0.16,32.0,40.0,33.0,3.0,28.150000000000002,0.79,11.0
119120,5.89,-0.23,-0.38,0.0558,-4.33,34.0,37.0,34.0,5.0,28.1,0.77,9.0
118636,5.32,-0.36,-0.61,0.051,-8.32,35.0,38.0,35.0,6.0,27.75,0.55,1.0
120841,13.53,0.49,0.86,0.1307,-17.57,24.0,24.0,25.0,24.0,25.85,1.59,35.0
119093,7.9,0.13,0.22,0.0833,-21.75,28.0,29.0,28.0,31.0,25.55,0.75,8.0
149322,13.39,0.46,0.76,0.1313,-14.84,25.0,25.0,24.0,16.0,24.725,1.54,30.5
102887,16.84,0.62,1.09,0.1618,-21.54,20.0,22.0,21.0,30.0,24.625,1.64,39.5
120844,6.92,-0.09,-0.19,0.0645,-0.12,30.0,34.0,32.0,2.0,24.549999999999997,0.6,3.0
125498,11.3,0.3,0.51,0.1206,-21.12,26.0,27.0,26.0,29.0,24.15,0.78,10.0
118634,16.37,0.45,0.75,0.178,-23.34,21.0,26.0,17.0,32.0,23.675,1.53,28.5
120507,7.24,0.5,1.05,0.0675,-0.1,29.0,23.0,31.0,1.0,21.8,0.74,7.0
120506,17.08,0.65,1.1,0.1628,-19.83,19.0,20.5,20.0,27.0,20.375,1.41,19.0
118633,16.27,0.65,1.15,0.155,-18.63,22.0,20.5,22.0,26.0,19.55,0.72,5.5
118635,15.96,0.66,1.14,0.1516,-11.65,23.0,19.0,23.0,10.0,19.2,0.89,13.0
102885,18.23,0.82,1.44,0.1699,-10.86,18.0,16.0,19.0,7.0,18.999999999999996,1.57,34.0
120503,18.79,0.8,1.34,0.1759,-13.9,17.0,17.0,18.0,14.0,17.349999999999998,1.42,20.0
148568,22.52,0.93,1.63,0.2079,-15.27,14.0,15.0,14.0,19.0,16.625,1.52,26.5
125497,19.02,0.78,1.33,0.1789,-15.2,16.0,18.0,16.0,18.0,16.4,0.92,14.0
101206,23.54,1.03,1.8,0.2139,-11.29,12.0,9.5,12.0,9.0,14.75,1.6,36.5
118632,24.05,1.08,1.85,0.2173,-17.41,11.0,8.0,11.0,23.0,13.475000000000001,1.51,24.5
149323,29.58,1.13,1.88,0.2658,-17.25,8.0,6.0,8.0,22.0,13.399999999999999,1.61,38.0
119094,28.21,1.0,1.7,0.26,-20.96,9.0,11.0,9.0,28.0,12.6,1.38,17.0
119552,21.52,0.95,1.61,0.1983,-11.8,15.0,13.0,15.0,11.0,12.45,0.66,4.0
119551,25.8,1.21,2.14,0.2322,-15.01,10.0,4.0,10.0,17.0,12.274999999999999,1.54,30.5
149324,32.29,0.95,1.62,0.2982,-31.17,3.0,13.0,2.0,37.0,12.225000000000001,1.52,26.5
120504,23.3,1.03,1.81,0.2121,-12.59,13.0,9.5,13.0,12.0,11.875,0.8,12.0
119598,32.42,0.95,1.68,0.3011,-28.71,2.0,13.0,1.0,36.0,10.799999999999999,1.43,21.0
148569,31.95,1.23,2.15,0.2835,-16.4,4.0,3.0,4.0,21.0,10.325,1.6,36.5
100033,30.12,1.09,1.83,0.2723,-16.22,7.0,7.0,6.0,20.0,9.600000000000001,1.38,17.0
120843,30.91,1.31,2.36,0.2728,-12.97,6.0,2.0,5.0,13.0,7.8999999999999995,1.45,22.0
148567,30.97,1.45,2.39,0.2712,-11.27,5.0,1.0,7.0,8.0,7.3999999999999995,1.46,23.0
120505,32.83,1.18,2.03,0.293,-18.19,1.0,5.0,3.0,25.0,6.9,1.36,15.0
