amfi_code,sharpe_ratio
100016,-0.2
100025,-0.57
100033,1.09
101206,1.03
101207,0.16
101208,-0.82
102885,0.82
102886,-0.21
102887,0.62
118632,1.08
118633,0.65
118634,0.45
118635,0.66
118636,-0.36
119092,0.03
119093,0.13
119094,1.0
119095,-0.08
119120,-0.23
119551,1.21
119552,0.95
119598,0.95
119599,-0.06
120503,0.8
120504,1.03
120505,1.18
120506,0.65
120507,0.5
120841,0.49
120842,0.08
120843,1.31
120844,-0.09
125497,0.78
125498,0.3
148567,1.45
148568,0.93
148569,1.23
149322,0.46
149323,1.13
149324,0.95
